"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Takeno S.; Watanabe K.; Suematsu K.; Shimanoe K.","Takeno, Shinichi (57822748300); Watanabe, Ken (55627874793); Suematsu, Koichi (24588210800); Shimanoe, Kengo (7003433986)","57822748300; 55627874793; 24588210800; 7003433986","Thickly and densely sintered Li3xLa2/3-xTiO3 electrodes for the anode of Li-ion batteries","2025","Journal of the Ceramic Society of Japan","133","3","","80","85","5","3","10.2109/jcersj2.24116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219425485&doi=10.2109%2fjcersj2.24116&partnerID=40&md5=20748c9ca52af0cf860022165cc66333","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85219425485"
"Takeno S.; Suematsu T.; Kunisaki R.; Hasegawa G.; Watanabe K.; Kuwata N.; Mitsuishi K.; Ohnishi T.; Takada K.; Suematsu K.; Shimanoe K.","Takeno, Shinichi (57822748300); Suematsu, Taiki (59481998400); Kunisaki, Ryusei (59481897300); Hasegawa, Gen (57194455846); Watanabe, Ken (55627874793); Kuwata, Naoaki (7003799659); Mitsuishi, Kazutaka (9942581600); Ohnishi, Tsuyoshi (7401746879); Takada, Kazunori (56526062300); Suematsu, Kohichi (24588210800); Shimanoe, Kengo (7003433986)","57822748300; 59481998400; 59481897300; 57194455846; 55627874793; 7003799659; 9942581600; 7401746879; 56526062300; 24588210800; 7003433986","New insight into designing a thick-sintered cathode for Li-ion batteries: the impact of excess lithium in LiCoO2 on its electrode performance","2024","Journal of Materials Chemistry A","13","4","","2943","2949","6","9","10.1039/d4ta07377k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212692407&doi=10.1039%2fd4ta07377k&partnerID=40&md5=339f2c0c69cfa32930e3ff4046abfca1","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85212692407"
"Watanabe K.; Tashiro A.; Ichinose Y.; Takeno S.; Suematsu K.; Mitsuishi K.; Shimanoe K.","Watanabe, Ken (55627874793); Tashiro, Ayumu (57823472300); Ichinose, Yoshihiro (57823350700); Takeno, Shinichi (57822748300); Suematsu, Koichi (24588210800); Mitsuishi, Kazutaka (9942581600); Shimanoe, Kengo (7003433986)","55627874793; 57823472300; 57823350700; 57822748300; 24588210800; 9942581600; 7003433986","Lowering the sintering temperature of Li7La3Zr2O12 electrolyte for co-fired all-solid-state batteries via partial Bi substitution and precise control of compositional deviation","2022","Journal of the Ceramic Society of Japan","130","7","","416","423","7","17","10.2109/JCERSJ2.21183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135134836&doi=10.2109%2fJCERSJ2.21183&partnerID=40&md5=75672e81b913451acbe536d92d15ea88","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85135134836"
