"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Imada S.; Maeno K.; Kagawa S.","Imada, Seiya (58862735900); Maeno, Keitaro (57384748300); Kagawa, Shigemi (35773505400)","58862735900; 57384748300; 35773505400","CO2 emission hotspots analysis on supply chains for wooden houses in Japan","2024","Journal of Environmental Management","353","","120151","","","","12","10.1016/j.jenvman.2024.120151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184019260&doi=10.1016%2fj.jenvman.2024.120151&partnerID=40&md5=4466c7d34579abdadf876c3542e678fe","Article","Final","","Scopus","2-s2.0-85184019260"
"Maeno K.; Islam K.; Motoshita M.","Maeno, Keitaro (57384748300); Islam, Kamrul (55408537100); Motoshita, Masaharu (8923935200)","57384748300; 55408537100; 8923935200","Assessing positive and negative effects of global supply chains through water footprinting: the balance between economic benefits and environmental pressure from the global and regional scale perspectives","2026","Journal of Industrial Ecology","","","","","","","0","10.1007/s44498-026-00091-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105039278898&doi=10.1007%2fs44498-026-00091-3&partnerID=40&md5=2af376c9748190609e29130301da24e7","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105039278898"
"Maeno K.","Maeno, Keitaro (57384748300)","57384748300","Identifying critical sectors in the restructuring of low-carbon global supply chains","2023","Energy Economics","127","","107025","","","","11","10.1016/j.eneco.2023.107025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171972864&doi=10.1016%2fj.eneco.2023.107025&partnerID=40&md5=b80dd1e069f69074f117b136f9875a73","Article","Final","","Scopus","2-s2.0-85171972864"
"Maeno K.; Tokito S.; Yokoi R.; Kagawa S.","Maeno, Keitaro (57384748300); Tokito, Shohei (57190960506); Yokoi, Ryosuke (57200316681); Kagawa, Shigemi (35773505400)","57384748300; 57190960506; 57200316681; 35773505400","Global supply chain restructuring towards achieving a low-carbon procurement of mineral resources for metal production","2025","Resources, Environment and Sustainability","20","","100215","","","","6","10.1016/j.resenv.2025.100215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000752781&doi=10.1016%2fj.resenv.2025.100215&partnerID=40&md5=45e27a69ac89f7b95774c21df722908c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000752781"
"Maeno K.; Tokito S.; Kagawa S.","Maeno, Keitaro (57384748300); Tokito, Shohei (57190960506); Kagawa, Shigemi (35773505400)","57384748300; 57190960506; 35773505400","CO2 mitigation through global supply chain restructuring","2022","Energy Economics","105","","105768","","","","33","10.1016/j.eneco.2021.105768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121759036&doi=10.1016%2fj.eneco.2021.105768&partnerID=40&md5=aadf25a187d1840872301793f6cc2946","Article","Final","","Scopus","2-s2.0-85121759036"
"Mtibaa S.; Maeno K.; Islam K.; Motoshita M.","Mtibaa, Slim (57196425377); Maeno, Keitaro (57384748300); Islam, Kamrul (55408537100); Motoshita, Masaharu (8923935200)","57196425377; 57384748300; 55408537100; 8923935200","Potential risk by riverine floods in the global economy: Sector-wise assessment of direct and indirect impacts through international trade","2025","Journal of Environmental Management","393","","127041","","","","0","10.1016/j.jenvman.2025.127041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013791993&doi=10.1016%2fj.jenvman.2025.127041&partnerID=40&md5=18d0f18c225c02dd1b277c5b3295296b","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013791993"
"Islam K.; Maeno K.; Yokoi R.; Giurco D.; Kagawa S.; Murakami S.; Motoshita M.","Islam, Kamrul (55408537100); Maeno, Keitaro (57384748300); Yokoi, Ryosuke (57200316681); Giurco, Damien (16834476400); Kagawa, Shigemi (35773505400); Murakami, Shinsuke (57234800100); Motoshita, Masaharu (8923935200)","55408537100; 57384748300; 57200316681; 16834476400; 35773505400; 57234800100; 8923935200","Geological resource production constrained by regional water availability","2025","Science","387","6739","","1214","1218","4","15","10.1126/science.adk5318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000358085&doi=10.1126%2fscience.adk5318&partnerID=40&md5=b89c64b6dc7cdb8589890ff7d510c57d","Article","Final","","Scopus","2-s2.0-105000358085"
