"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Nie Z.; Farzaneh H.","Nie, Zifei (57218544167); Farzaneh, Hooman (15848542900)","57218544167; 15848542900","Role of model predictive control for enhancing eco-driving of electric vehicles in urban transport system of Japan","2021","Sustainability (Switzerland)","13","16","9173","","","","12","10.3390/su13169173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113294530&doi=10.3390%2fsu13169173&partnerID=40&md5=70e70ed4172cfda6ab4cba8db606f8d6","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85113294530"
"Nie Z.; Farzaneh H.","Nie, Zifei (57218544167); Farzaneh, Hooman (15848542900)","57218544167; 15848542900","Adaptive cruise control for eco-driving based on model predictive control algorithm","2020","Applied Sciences (Switzerland)","10","15","5271","","","","64","10.3390/APP10155271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089494180&doi=10.3390%2fAPP10155271&partnerID=40&md5=96a175d99d3953a0f280249e674dc9e8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85089494180"
"Farzaneh H.; Dashti M.; Zusman E.; Lee S.-Y.; Dagvadorj D.; Nie Z.","Farzaneh, Hooman (15848542900); Dashti, Mehrnoosh (55322386100); Zusman, Eric (36681032300); Lee, So-Young (57195037070); Dagvadorj, Damdin (6508269136); Nie, Zifei (57218544167)","15848542900; 55322386100; 36681032300; 57195037070; 6508269136; 57218544167","Assessing the Environmental-Health-Economic Co-Benefits from Solar Electricity and Thermal Heating in Ulaanbaatar, Mongolia","2022","International Journal of Environmental Research and Public Health","19","11","6931","","","","18","10.3390/ijerph19116931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131315545&doi=10.3390%2fijerph19116931&partnerID=40&md5=441c8001ff32e2bf5a0ce6dfe4ab2090","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131315545"
"Nie Z.; Farzaneh H.","Nie, Zifei (57218544167); Farzaneh, Hooman (15848542900)","57218544167; 15848542900","Human-Inspired Anticipative Cruise Control for Enhancing Mixed Traffic Flow","2024","IEEE Transactions on Intelligent Transportation Systems","25","11","","17335","17351","16","5","10.1109/TITS.2024.3438211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208698690&doi=10.1109%2fTITS.2024.3438211&partnerID=40&md5=10928d58adc8f99c1fbb8d6b209a6b7f","Article","Final","","Scopus","2-s2.0-85208698690"
"Nie Z.; Farzaneh H.","Nie, Zifei (57218544167); Farzaneh, Hooman (15848542900)","57218544167; 15848542900","Real-time dynamic predictive cruise control for enhancing eco-driving of electric vehicles, considering traffic constraints and signal phase and timing (SPaT) information, using artificial-neural-network-based energy consumption model","2022","Energy","241","","122888","","","","85","10.1016/j.energy.2021.122888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121138335&doi=10.1016%2fj.energy.2021.122888&partnerID=40&md5=a8e4053af1333c35efee81c91e876f5f","Article","Final","","Scopus","2-s2.0-85121138335"
"Nie Z.; Farzaneh H.","Nie, Zifei (57218544167); Farzaneh, Hooman (15848542900)","57218544167; 15848542900","Energy-efficient lane-change motion planning for personalized autonomous driving","2023","Applied Energy","338","","120926","","","","29","10.1016/j.apenergy.2023.120926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149945132&doi=10.1016%2fj.apenergy.2023.120926&partnerID=40&md5=8a4e0a5e6728a57e35fc393af5129a32","Article","Final","","Scopus","2-s2.0-85149945132"
"Arsalan M.; Etoju J.; Nie Z.; Farzaneh H.","Arsalan, Muhammad (58868084500); Etoju, Jacob (59703908700); Nie, Zifei (57218544167); Farzaneh, Hooman (15848542900)","58868084500; 59703908700; 57218544167; 15848542900","Analyzing the impact of battery technical performance and driving conditions on the overall economic feasibility of a Vehicle-to-Grid (V2G) system implemented in the Japan electric power exchange (JEPX) market","2025","Energy Conversion and Management: X","26","","100980","","","","2","10.1016/j.ecmx.2025.100980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000703017&doi=10.1016%2fj.ecmx.2025.100980&partnerID=40&md5=5b098e5365bd819081c25659ca9c333e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000703017"
