"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Mitoma H.","Mitoma, Haruka (57224456517)","57224456517","Carbon footprint analysis considering production activities of informal sector: The case of manufacturing industries of India","2023","Energy Economics","125","","106809","","","","18","10.1016/j.eneco.2023.106809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166179510&doi=10.1016%2fj.eneco.2023.106809&partnerID=40&md5=68b1009e54407cb0f704d44de038d1be","Article","Final","","Scopus","2-s2.0-85166179510"
"Mitoma H.; Nagashima F.; Kagawa S.; Nansai K.","Mitoma, Haruka (57224456517); Nagashima, Fumiya (57192682633); Kagawa, Shigemi (35773505400); Nansai, Keisuke (55942735500)","57224456517; 57192682633; 35773505400; 55942735500","Critical supply chains for mitigating PM2.5 emission-related mortalities in India","2021","Scientific Reports","11","1","11914","","","","9","10.1038/s41598-021-91438-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107566557&doi=10.1038%2fs41598-021-91438-2&partnerID=40&md5=0e69d1cc283efb49cdb36e85d56c8f68","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85107566557"
"Ushijima D.; Kagawa S.; Mitoma H.; Nakaishi T.","Ushijima, Daigo (56578816600); Kagawa, Shigemi (35773505400); Mitoma, Haruka (57224456517); Nakaishi, Tomoaki (57223160354)","56578816600; 35773505400; 57224456517; 57223160354","Significant CO2 emission reduction potential in the healthcare sector: Evidence from Japan","2025","Journal of Environmental Management","391","","126372","","","","1","10.1016/j.jenvman.2025.126372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009484210&doi=10.1016%2fj.jenvman.2025.126372&partnerID=40&md5=0b37dfa157656fe5ea1d017c9c7a4702","Article","Final","","Scopus","2-s2.0-105009484210"
"Hienuki S.; Mitoma H.; Ogata M.; Uchida I.; Kagawa S.","Hienuki, Shunichi (55627548600); Mitoma, Haruka (57224456517); Ogata, Mari (58065845000); Uchida, Izumi (57272401400); Kagawa, Shigemi (35773505400)","55627548600; 57224456517; 58065845000; 57272401400; 35773505400","Environmental and energy life cycle analyses of passenger vehicle systems using fossil fuel-derived hydrogen","2021","International Journal of Hydrogen Energy","46","73","","36569","36580","11","56","10.1016/j.ijhydene.2021.08.135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115777816&doi=10.1016%2fj.ijhydene.2021.08.135&partnerID=40&md5=8f9a62640ee92e5bceba90bc9e8f1aba","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85115777816"
