"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Isogawa H.; Katayama K.; Henzan D.; Matsuura H.","Isogawa, Hiroki (57486802600); Katayama, Kazunari (7402571969); Henzan, Daisuke (57222336012); Matsuura, Hideaki (7401431489)","57486802600; 7402571969; 57222336012; 7401431489","Permeation behavior of gaseous tritium through the assembly composed of Zr and Al2O3 simulating Li rod","2022","Nuclear Materials and Energy","31","","101170","","","","2","10.1016/j.nme.2022.101170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126313399&doi=10.1016%2fj.nme.2022.101170&partnerID=40&md5=89a862717e56e9bd184f776e44562f5a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85126313399"
"Kobayashi S.; Katayama K.; Isogawa H.; Matsuura H.; Akashi K.; Iinuma Y.","Kobayashi, Seiyo (59318862900); Katayama, Kazunari (7402571969); Isogawa, Hiroki (57486802600); Matsuura, Hideaki (7401431489); Akashi, Kenta (59267182500); Iinuma, Yuto (56402863100)","59318862900; 7402571969; 57486802600; 7401431489; 59267182500; 56402863100","Experimental investigation of tritium release from LiAlO2 and absorption into Zr","2026","Fusion Engineering and Design","222","","115471","","","","0","10.1016/j.fusengdes.2025.115471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017509047&doi=10.1016%2fj.fusengdes.2025.115471&partnerID=40&md5=3d6c609bdcf209350af6f93e8ba520a1","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105017509047"
"Isogawa H.; Katayama K.; Kobayashi S.; Matsuura H.; Iinuma Y.","Isogawa, Hiroki (57486802600); Katayama, Kazunari (7402571969); Kobayashi, Seiyo (59318862900); Matsuura, Hideaki (7401431489); Iinuma, Yuto (56402863100)","57486802600; 7402571969; 59318862900; 7401431489; 56402863100","Experimental investigation of tritium release behavior from neutron irradiated LiAlO2 with Zr for tritium production in a high-temperature gas-cooled reactor","2024","Fusion Engineering and Design","208","","114657","","","","3","10.1016/j.fusengdes.2024.114657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203415360&doi=10.1016%2fj.fusengdes.2024.114657&partnerID=40&md5=c532ef2384d656c6792c4fa88e0efa4e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203415360"
