"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Sun M.; Rocabado D.S.R.; Cheng J.; Noguchi T.G.; Donoshita M.; Matsuu T.; Higashi M.; Fujigaya T.; Ishimoto T.; Yamauchi M.","Sun, Mingxu (57980895000); Rocabado, David S. Rivera (57225136621); Cheng, Jiamin (57770473700); Noguchi, Tomohiro G. (57193139186); Donoshita, Masaki (57201524667); Matsuu, Takahiro (59919038900); Higashi, Manabu (57208088801); Fujigaya, Tsuyohiko (6602968963); Ishimoto, Takayoshi (9271763900); Yamauchi, Miho (7201591670)","57980895000; 57225136621; 57770473700; 57193139186; 57201524667; 59919038900; 57208088801; 6602968963; 9271763900; 7201591670","In Situ Observation of Post-CO Intermediates to Decode C─C Coupling Pathways in CO2 Electroreduction","2025","Angewandte Chemie - International Edition","64","30","e202502740","","","","16","10.1002/anie.202502740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006631438&doi=10.1002%2fanie.202502740&partnerID=40&md5=e00b4168d57e0b1239b0187405d8705d","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-105006631438"
"Sun M.; Cheng J.; Anzai A.; Kobayashi H.; Yamauchi M.","Sun, Mingxu (57980895000); Cheng, Jiamin (57770473700); Anzai, Akihiko (57194692434); Kobayashi, Hirokazu (55538326000); Yamauchi, Miho (7201591670)","57980895000; 57770473700; 57194692434; 55538326000; 7201591670","Modulating Electronic States of Cu in Metal-Organic Frameworks for Emerging Controllable CH4/C2H4 Selectivity in CO2 Electroreduction","2024","Advanced Science","11","34","2404931","","","","20","10.1002/advs.202404931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197675581&doi=10.1002%2fadvs.202404931&partnerID=40&md5=08574e8ce8be9e8bf9042fe36120d867","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85197675581"
"Sun M.; Staykov A.; Yamauchi M.","Sun, Mingxu (57980895000); Staykov, Aleksandar (16053634300); Yamauchi, Miho (7201591670)","57980895000; 16053634300; 7201591670","Understanding the Roles of Hydroxide in CO2Electroreduction on a Cu Electrode for Achieving Variable Selectivity","2022","ACS Catalysis","12","24","","14856","14863","7","46","10.1021/acscatal.2c03650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142623371&doi=10.1021%2facscatal.2c03650&partnerID=40&md5=df46ebad67b85679fa9bbcdc13d4f292","Article","Final","","Scopus","2-s2.0-85142623371"
