"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Phua Y.K.; Terasoba N.; Tanaka M.; Fujigaya T.; Kato K.","Phua, Yin Kan (57212384346); Terasoba, Nana (59219015700); Tanaka, Manabu (55722013000); Fujigaya, Tsuyohiko (6602968963); Kato, Koichiro (56611063800)","57212384346; 59219015700; 55722013000; 6602968963; 56611063800","Unsupervised Machine Learning-Derived Anion-Exchange Membrane Polymers Map: A Guideline for Polymers Exploration and Design","2024","ChemElectroChem","11","14","e202400252","","","","7","10.1002/celc.202400252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198555739&doi=10.1002%2fcelc.202400252&partnerID=40&md5=5aea0a8f1547551469b2f2369b86b6de","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85198555739"
"Weerathunga D.T.D.; Jayawickrama S.M.; Phua Y.K.; Nobori K.; Fujigaya T.","Weerathunga, Don Terrence Dhammika (57209692099); Jayawickrama, Samindi Madhubha (57208797986); Phua, Yin Kan (57212384346); Nobori, Kazutaka (57212391495); Fujigaya, Tsuyohiko (6602968963)","57209692099; 57208797986; 57212384346; 57212391495; 6602968963","Effect of polytetrafluoroethylene particles in cathode catalyst layer based on carbon nanotube for polymer electrolyte membrane fuel cells","2019","Bulletin of the Chemical Society of Japan","92","12","","2038","2042","4","7","10.1246/bcsj.20190208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076523430&doi=10.1246%2fbcsj.20190208&partnerID=40&md5=9d8c5868be6f1319403d5679368249dd","Article","Final","","Scopus","2-s2.0-85076523430"
"Phua Y.K.; Terasoba N.; Tanaka M.; Fujigaya T.; Kato K.","Phua, Yin Kan (57212384346); Terasoba, Nana (59219015700); Tanaka, Manabu (55722013000); Fujigaya, Tsuyohiko (6602968963); Kato, Koichiro (56611063800)","57212384346; 59219015700; 55722013000; 6602968963; 56611063800","Orchestrating explainable AI, ChatGPT, and human expertise: a framework for extracting polymer design guidelines","2026","Journal of Materials Chemistry A","14","30","","19675","19693","18","0","10.1039/d5ta06120b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105035651102&doi=10.1039%2fd5ta06120b&partnerID=40&md5=b82f270871c0c991bfdbf57dd939a46d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105035651102"
"Wu D.; Kayo N.; Jayawickrama S.M.; Phua Y.K.; Tanaka N.; Fujigaya T.","Wu, Dan (57222670215); Kayo, Nana (58017983800); Jayawickrama, Samindi Madhubha (57208797986); Phua, Yin Kan (57212384346); Tanaka, Naoki (57577305700); Fujigaya, Tsuyohiko (6602968963)","57222670215; 58017983800; 57208797986; 57212384346; 57577305700; 6602968963","Effect of alcohol content on the ionomer adsorption of polymer electrolyte membrane fuel cell catalysts","2023","International Journal of Hydrogen Energy","48","15","","5915","5928","13","28","10.1016/j.ijhydene.2022.11.116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144024428&doi=10.1016%2fj.ijhydene.2022.11.116&partnerID=40&md5=dd593801733a3c6c621d84ed86956282","Article","Final","","Scopus","2-s2.0-85144024428"
"Yoshihara R.; Wu D.; Phua Y.K.; Nagashima A.; Choi E.; Jayawickrama S.M.; Ishikawa S.; Liu X.; Inoue G.; Fujigaya T.","Yoshihara, Ryo (57482325500); Wu, Dan (57222670215); Phua, Yin Kan (57212384346); Nagashima, Akiyo (56485365300); Choi, Euiji (56865163100); Jayawickrama, Samindi Madhubha (57208797986); Ishikawa, Shota (57222671932); Liu, Xuanchen (57222671694); Inoue, Gen (55401173500); Fujigaya, Tsuyohiko (6602968963)","57482325500; 57222670215; 57212384346; 56485365300; 56865163100; 57208797986; 57222671932; 57222671694; 55401173500; 6602968963","Ionomer-free electrocatalyst using acid-grafted carbon black as a proton-conductive support","2022","Journal of Power Sources","529","","231192","","","","17","10.1016/j.jpowsour.2022.231192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126030583&doi=10.1016%2fj.jpowsour.2022.231192&partnerID=40&md5=ca1c683c8a5be9f2a1ecdb1cda27017f","Article","Final","","Scopus","2-s2.0-85126030583"
"Phua Y.K.; Fujigaya T.; Kato K.","Phua, Yin Kan (57212384346); Fujigaya, Tsuyohiko (6602968963); Kato, Koichiro (56611063800)","57212384346; 6602968963; 56611063800","Predicting the anion conductivities and alkaline stabilities of anion conducting membrane polymeric materials: development of explainable machine learning models","2023","Science and Technology of Advanced Materials","24","1","2261833","","","","15","10.1080/14686996.2023.2261833","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174409787&doi=10.1080%2f14686996.2023.2261833&partnerID=40&md5=d2ec69a658bbf613aa0b45ee67155d0f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174409787"
"Phua Y.K.; Dhammika Weerathunga D.T.; Wu D.; Kim C.; Jayawickrama S.M.; Tanaka N.; Fujigaya T.","Phua, Yin Kan (57212384346); Dhammika Weerathunga, Don Terrence (57917915000); Wu, Dan (57222670215); Kim, Chaerin (55614376000); Jayawickrama, Samindi Madhubha (57208797986); Tanaka, Naoki (57577305700); Fujigaya, Tsuyohiko (6602968963)","57212384346; 57917915000; 57222670215; 55614376000; 57208797986; 57577305700; 6602968963","Effect of carbon nanotube-based catalyst layer surface roughness on polymer electrolyte membrane fuel cell performance","2022","Sustainable Energy and Fuels","6","20","","4636","4644","8","3","10.1039/d2se00857b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139430033&doi=10.1039%2fd2se00857b&partnerID=40&md5=2ea019b7b41272a71ec649280969a57d","Article","Final","","Scopus","2-s2.0-85139430033"
