"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Chen Y.; Sumiyoshi D.; Pan Y.; Yamamoto T.; Ueno T.; Oh J.","Chen, Yutong (59487516200); Sumiyoshi, Daisuke (37114704400); Pan, Yifan (60121547600); Yamamoto, Takahiro (59453708900); Ueno, Takahiro (57207958754); Oh, Jewon (58850339700)","59487516200; 37114704400; 60121547600; 59453708900; 57207958754; 58850339700","A Low-Cost IoT Framework for Device-Free Human Counting and Lighting Energy Control in Commercial Spaces","2025","Proceedings of the IEEE International Conference on Computer Communication and the Internet, ICCCI","","2025","","50","56","6","1","10.1109/ICCCI65070.2025.11158700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017564786&doi=10.1109%2fICCCI65070.2025.11158700&partnerID=40&md5=f07f520a42fa5e32b534d2ada10973e6","Conference paper","Final","","Scopus","2-s2.0-105017564786"
"Chen Y.; Sumiyoshi D.; Morita Y.; Ishibashi S.; Wang X.; Yamamoto T.; Ueno T.; Oh J.","Chen, Yutong (59487516200); Sumiyoshi, Daisuke (37114704400); Morita, Yuutarou (60094474600); Ishibashi, Soichiro (60094474700); Wang, Xiangyu (60094662100); Yamamoto, Takahiro (59453708900); Ueno, Takahiro (57207958754); Oh, Jewon (58850339700)","59487516200; 37114704400; 60094474600; 60094474700; 60094662100; 59453708900; 57207958754; 58850339700","BI-Tech: An IoT-Based Behavioral Intervention System for User-Driven Energy Optimization in Commercial Spaces","2025","IEEE Access","13","","","166853","166872","19","2","10.1109/ACCESS.2025.3607329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015457460&doi=10.1109%2fACCESS.2025.3607329&partnerID=40&md5=2b54698d67f13f8e5cac44ffc31cae59","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105015457460"
"Wang X.; Chen Y.; Ishibashi S.; Oh J.; Ueno T.; Sumiyoshi D.","Wang, Xiangyu (60094662100); Chen, Yutong (59487516200); Ishibashi, Soichiro (60094474700); Oh, Jewon (58850339700); Ueno, Takahiro (57207958754); Sumiyoshi, Daisuke (37114704400)","60094662100; 59487516200; 60094474700; 58850339700; 57207958754; 37114704400","RL-LSTM and Heuristic Optimization for Energy-Efficient Office Management","2025","2025 6th International Conference on Information Science, Parallel and Distributed Systems, ISPDS 2025","","","","83","91","8","0","10.1109/ISPDS67367.2025.11391185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105035604283&doi=10.1109%2fISPDS67367.2025.11391185&partnerID=40&md5=1619bff41b55391beca37ed7cbc3f0ad","Conference paper","Final","","Scopus","2-s2.0-105035604283"
"Chen Y.; Sumiyoshi D.; Wang X.; Yamamoto T.; Ueno T.; Oh J.","Chen, Yutong (59487516200); Sumiyoshi, Daisuke (37114704400); Wang, Xiangyu (60094662100); Yamamoto, Takahiro (59453708900); Ueno, Takahiro (57207958754); Oh, Jewon (58850339700)","59487516200; 37114704400; 60094662100; 59453708900; 57207958754; 58850339700","A Foundational Edge-AI Sensing Framework for Occupancy-Driven Energy Management in SMOs","2026","IoT","7","1","25","","","","0","10.3390/iot7010025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105034197784&doi=10.3390%2fiot7010025&partnerID=40&md5=4ade445276ca8ef554f603455e877208","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034197784"
"Chen Y.; Sumiyoshi D.; Sakai R.; Yamamoto T.; Ueno T.; Oh J.","Chen, Yutong (59487516200); Sumiyoshi, Daisuke (37114704400); Sakai, Riki (59487590100); Yamamoto, Takahiro (59453708900); Ueno, Takahiro (57207958754); Oh, Jewon (58850339700)","59487516200; 37114704400; 59487590100; 59453708900; 57207958754; 58850339700","Development of Low-Cost IoT Units for Thermal Comfort Measurement and AC Energy Consumption Prediction System","2025","E3S Web of Conferences","672","","01055","","","","0","10.1051/e3sconf/202567201055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031086481&doi=10.1051%2fe3sconf%2f202567201055&partnerID=40&md5=4009045aa23894c178edeb4dba07aade","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031086481"
