"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Inoishi A.; Chen Y.; Konishi R.; Tsuneishi H.; Tsubota T.; Sakaebe H.","Inoishi, Atsushi (55351417000); Chen, Yixin (57665117200); Konishi, Ryoga (59925573600); Tsuneishi, Hidemasa (55509304100); Tsubota, Takayuki (56973719300); Sakaebe, Hikari (6603889781)","55351417000; 57665117200; 59925573600; 55509304100; 56973719300; 6603889781","Observation of In-Situ Formed Electrolyte from TiH2 by SEM and Windowless EDS","2025","Electrochemistry","93","6","063015","","","","0","10.5796/electrochemistry.25-71034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007092327&doi=10.5796%2felectrochemistry.25-71034&partnerID=40&md5=06d0712d5122ca992b385fce1561532f","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007092327"
"Chen Y.; Sakamoto R.; Inoishi A.; Okada S.; Sakaebe H.; Albrecht K.; Gregory D.H.","Chen, Yixin (57665117200); Sakamoto, Ryo (57080426000); Inoishi, Atsushi (55351417000); Okada, Shigeto (7403456741); Sakaebe, Hikari (6603889781); Albrecht, Ken (14069861800); Gregory, Duncan H. (7201783441)","57665117200; 57080426000; 55351417000; 7403456741; 6603889781; 14069861800; 7201783441","In situ Electrolyte Design: Understanding the Prospects and Limitations of a High Capacity Ca(BH4)2 Anode for All Solid State Batteries","2024","Batteries and Supercaps","7","4","e202300550","","","","3","10.1002/batt.202300550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183754813&doi=10.1002%2fbatt.202300550&partnerID=40&md5=7b8f8bcf000abb30a8907375b67dabcd","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85183754813"
"Chen Y.; Inoishi A.; Yoshii K.; Sato H.; Okada S.; Sakaebe H.; Albrecht K.","Chen, Yixin (57665117200); Inoishi, Atsushi (55351417000); Yoshii, Kazuki (36098631100); Sato, Hiroki (55628548202); Okada, Shigeto (7403456741); Sakaebe, Hikari (6603889781); Albrecht, Ken (14069861800)","57665117200; 55351417000; 36098631100; 55628548202; 7403456741; 6603889781; 14069861800","Electrode thickness dependence of charge–discharge performance and reaction distribution of an in-situ-formed solid electrolyte for MgH2 anodes","2024","Electrochimica Acta","485","","144083","","","","3","10.1016/j.electacta.2024.144083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188554814&doi=10.1016%2fj.electacta.2024.144083&partnerID=40&md5=115c3be1bb8464be011d8b648af73144","Article","Final","","Scopus","2-s2.0-85188554814"
"Inoishi A.; Sato H.; Chen Y.; Saito H.; Sakamoto R.; Sakaebe H.; Okada S.","Inoishi, Atsushi (55351417000); Sato, Hiroki (55628548202); Chen, Yixin (57665117200); Saito, Hikaru (58072822300); Sakamoto, Ryo (57080426000); Sakaebe, Hikari (6603889781); Okada, Shigeto (7403456741)","55351417000; 55628548202; 57665117200; 58072822300; 57080426000; 6603889781; 7403456741","High capacity all-solid-state lithium battery enabled by in situ formation of an ionic conduction path by lithiation of MgH2","2022","RSC Advances","12","17","","10749","10754","5","13","10.1039/d2ra01199a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129448040&doi=10.1039%2fd2ra01199a&partnerID=40&md5=71d5d16730dcd9d654b08294067f3186","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85129448040"
"Chen Y.; Inoishi A.; Okada S.; Sakaebe H.; Albrecht K.","Chen, Yixin (57665117200); Inoishi, Atsushi (55351417000); Okada, Shigeto (7403456741); Sakaebe, Hikari (6603889781); Albrecht, Ken (14069861800)","57665117200; 55351417000; 7403456741; 6603889781; 14069861800","In situ formation of an intimate solid-solid interface by reaction between MgH2 and Ti to stabilize metal hydride anode with high active material content","2024","Journal of Magnesium and Alloys","12","8","","3193","3203","10","6","10.1016/j.jma.2024.08.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203013136&doi=10.1016%2fj.jma.2024.08.006&partnerID=40&md5=0a5264c680c491bb2df66f0e0db27131","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85203013136"
"Chen Y.; Inoishi A.; Okada S.; Sakaebe H.; Albrecht K.","Chen, Yixin (57665117200); Inoishi, Atsushi (55351417000); Okada, Shigeto (7403456741); Sakaebe, Hikari (6603889781); Albrecht, Ken (14069861800)","57665117200; 55351417000; 7403456741; 6603889781; 14069861800","TiH2-based anode: In situ formation of solid electrolyte for high volumetric energy density with minimal content of conducting agent","2024","Journal of Energy Storage","86","","111286","","","","5","10.1016/j.est.2024.111286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188248766&doi=10.1016%2fj.est.2024.111286&partnerID=40&md5=0b98fc87455fc4deec71eea2df733809","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188248766"
