"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Matsushima S.","Matsushima, Sora (58999510400)","58999510400","Effects of changes in the economic lifespan of residential buildings on CO2 emissions: Evidence from Japan","2025","Journal of Industrial Ecology","29","4","","1265","1278","13","0","10.1111/jiec.70045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007553775&doi=10.1111%2fjiec.70045&partnerID=40&md5=ac7f65da42ba53dda9ebf107ee8cef4e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007553775"
"Matsushima S.; Kagawa S.; Nansai K.; Xue J.","Matsushima, Sora (58999510400); Kagawa, Shigemi (35773505400); Nansai, Keisuke (55942735500); Xue, Jinjun (37125627700)","58999510400; 35773505400; 55942735500; 37125627700","A comparison of deflation methods for carbon footprint calculations using Japanese data","2024","Economic Systems Research","36","3","","337","352","15","7","10.1080/09535314.2024.2327311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191143900&doi=10.1080%2f09535314.2024.2327311&partnerID=40&md5=1a616854a87791a4d8af6253b4d41f73","Article","Final","","Scopus","2-s2.0-85191143900"
"Nagata A.; Matsushima S.; Kagawa S.","Nagata, Ai (60395200000); Matsushima, Sora (58999510400); Kagawa, Shigemi (35773505400)","60395200000; 58999510400; 35773505400","Carbon Footprint Analysis of Residential Buildings in Japan","2026","Energies","19","3","783","","","","0","10.3390/en19030783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030161058&doi=10.3390%2fen19030783&partnerID=40&md5=facd332bc81b8d4f0c5c6a5644b9d52d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030161058"
