"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kondo Y.; Kubota M.; Eda H.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Eda, Hikaru (57202158826)","35327168500; 7401665066; 57202158826","Effect of notch shape and absorbed hydrogen on the fatigue fracture in two-step stress test below fatigue limit","2008","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","74","10","","1358","1365","7","0","10.1299/kikaia.74.1358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249106051&doi=10.1299%2fkikaia.74.1358&partnerID=40&md5=b5e59a41e22cf8e90ced93219a738acc","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-58249106051"
"Kubota M.; Yamaguchi J.; Kondo Y.","Kubota, Masanobu (7401665066); Yamaguchi, Junichiro (25959417000); Kondo, Yoshiyuki (35327168500)","7401665066; 25959417000; 35327168500","Fatigue strength reduction of notched component in hydrogen gas after multiple overloading","2008","17th European Conference on Fracture 2008: Multilevel Approach to Fracture of Materials, Components and Structures","2","","","1328","1335","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866122777&partnerID=40&md5=5774313c82bc317060872cce49c859f1","Conference paper","Final","","Scopus","2-s2.0-84866122777"
"Komoda R.; Kubota M.; Staykov A.; Ginet P.; Barbier F.; Furtado J.; Prost L.; Nagao A.","Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Staykov, Aleksandar (16053634300); Ginet, Patrick (8516228200); Barbier, Francoise (57197562839); Furtado, Jader (24467850700); Prost, Laurent (57095148000); Nagao, Akihide (7005739765)","55791262500; 7401665066; 16053634300; 8516228200; 57197562839; 24467850700; 57095148000; 7005739765","Effect of Gas Pressure on Hydrogen Environment Embrittlement of Carbon Steel A106 in Carbon Monoxide Mixed Hydrogen Gas","2022","Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science","53","1","","74","85","11","21","10.1007/s11661-021-06491-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118537267&doi=10.1007%2fs11661-021-06491-3&partnerID=40&md5=db8d104198962c11b09cef4d15ea3105","Article","Final","","Scopus","2-s2.0-85118537267"
"Iikemlya H.; Kubota M.; Komdo Y.","Iikemlya, Hideya (54941208800); Kubota, Masanobu (7401665066); Komdo, Yoshiyuki (35327168500)","54941208800; 7401665066; 35327168500","Effect of loading rate and tempering temperature on fracture toughness of hydrogen-charged low alloy steel SCM440","2011","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","77","775","","483","494","11","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856420610&partnerID=40&md5=730cd0f9a08f2860d42d4dcb4f79220c","Article","Final","","Scopus","2-s2.0-84856420610"
"Kubota M.; Tanaka Y.; Kuwada K.; Kondo Y.","Kubota, Masanobu (7401665066); Tanaka, Yasuhiro (59828836100); Kuwada, Kyohei (36494946200); Kondo, Yoshiyuki (35327168500)","7401665066; 59828836100; 36494946200; 35327168500","Mechanism of reduction of fretting fatigue limit in hydrogen gas in SUS304","2010","Zairyo/Journal of the Society of Materials Science, Japan","59","6","","439","446","7","2","10.2472/jsms.59.439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956327690&doi=10.2472%2fjsms.59.439&partnerID=40&md5=45ca9624b1d8c10b989362a1a36ddfe8","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-77956327690"
"Kondo Y.; Kubota M.; Ohguma K.","Kondo, Y. (35327168500); Kubota, M. (7401665066); Ohguma, K. (23969218600)","35327168500; 7401665066; 23969218600","Hydrogen and notch effects on torsional fatigue of stainless steel","2006","Fracture of Nano and Engineering Materials and Structures - Proceedings of the 16th European Conference of Fracture","","","","1225","1226","1","0","10.1007/1-4020-4972-2_608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908296209&doi=10.1007%2f1-4020-4972-2_608&partnerID=40&md5=1b58cc1ed3f38548fd250fce9412cc2f","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84908296209"
"Kubota M.; Komoda R.","Kubota, Masanobu (7401665066); Komoda, Ryosuke (55791262500)","7401665066; 55791262500","Fretting fatigue in hydrogen environment","2015","Toraibarojisuto/Journal of Japanese Society of Tribologists","60","10","","651","657","6","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947242629&partnerID=40&md5=595b895895ad1868532d4a4da80d231d","Article","Final","","Scopus","2-s2.0-84947242629"
"Kondo Y.; Kubota M.; Shimada K.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Shimada, Katsuya (23969212200)","35327168500; 7401665066; 23969212200","Crack propagation behavior of SCM440H low alloy steel enhanced by hydrogen under long-term varying load and static load","2009","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","75","754","","752","760","8","5","10.1299/kikaia.75.752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349448289&doi=10.1299%2fkikaia.75.752&partnerID=40&md5=93649261c99548b8fb6036cb1692e20c","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-70349448289"
"Kubota M.; Komoda R.","Kubota, Masanobu (7401665066); Komoda, Ryosuke (55791262500)","7401665066; 55791262500","Test machine for fretting in hydrogen environment","2016","Toraibarojisuto/Journal of Japanese Society of Tribologists","61","3","","187","190","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966534326&partnerID=40&md5=bc16b958639ec2c56e5fe8128404eb97","Article","Final","","Scopus","2-s2.0-84966534326"
"Kubota M.","Kubota, Masanobu (7401665066)","7401665066","Report on ATEM'07","2008","Zairyo/Journal of the Society of Materials Science, Japan","57","3","","316","","","0","10.2472/jsms.57.316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649155600&doi=10.2472%2fjsms.57.316&partnerID=40&md5=21c8d80ed6a1fb0d53f8067d657a8ab6","Note","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-44649155600"
