"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kubota M.; Sakuma T.; Yamaguchi J.; Kondo Y.","Kubota, Masanobu (7401665066); Sakuma, Toru (57194966857); Yamaguchi, Junichiro (25959417000); Kondo, Yoshiyuki (56072489200)","7401665066; 57194966857; 25959417000; 56072489200","Effects of Multiple Overloads and Hydrogen on High-Cycle Fatigue Strength of Notched Specimen of Austenitic Stainless Steels","2011","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","77","782","","1747","1759","12","9","10.1299/kikaia.77.1747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961709865&doi=10.1299%2fkikaia.77.1747&partnerID=40&md5=673a529db6001c28c11ef3f8dc637668","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84961709865"
"Kondo Y.; Kubota M.; Shimada K.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Shimada, Katsuya (23969212200)","35327168500; 7401665066; 23969212200","Hydrogen enhanced crack propagation of SCM440H low-alloy steel under long-term varying load","2010","Engineering Fracture Mechanics","77","11","","1963","1974","11","21","10.1016/j.engfracmech.2010.01.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954175113&doi=10.1016%2fj.engfracmech.2010.01.012&partnerID=40&md5=e1a6fb0c01ebf7f84a6acc4583f4cd1f","Article","Final","","Scopus","2-s2.0-77954175113"
"Zhang N.; Komoda R.; Kubota M.; Staykov A.","Zhang, Nan (57218950657); Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Staykov, Aleksandar (16053634300)","57218950657; 55791262500; 7401665066; 16053634300","Effect of alloy composition on CO mitigation effect on gaseous hydrogen embrittlement of ferritic steel","2023","Proceedings of the International Offshore and Polar Engineering Conference","","","","3139","3144","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188748086&partnerID=40&md5=42b7e15a4029e0da75cd9524cc12c914","Conference paper","Final","","Scopus","2-s2.0-85188748086"
"Kondo Y.; Ogawa T.; Kubota M.","Kondo, Yoshiyuki (35327168500); Ogawa, Takuya (59031139800); Kubota, Masanobu (7401665066)","35327168500; 59031139800; 7401665066","Applicability of applied stress estimation method based on the micro hardness of fatigue fracture surface of stainless steel without striations","2008","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","74","9","","1256","1262","6","0","10.1299/kikaia.74.1256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57249091447&doi=10.1299%2fkikaia.74.1256&partnerID=40&md5=d2611d258a643355307e35945ee60183","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-57249091447"
"Kondo Y.; Kubota M.; Nagasue T.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Nagasue, Tomohiro (57213630798)","35327168500; 7401665066; 57213630798","Effect of load variation on the transition of crack path in delayed failure of 12Cr steel","2008","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","74","9","","1249","1255","6","0","10.1299/kikaia.74.1249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57149124145&doi=10.1299%2fkikaia.74.1249&partnerID=40&md5=617d393e9df16a8960798c6f1cdeedfd","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-57149124145"
"Zhang N.; Wada K.; Komoda R.; Staykov A.; Kubota M.","Zhang, Nan (59986032500); Wada, Kentaro (57192978784); Komoda, Ryuoske (55791262500); Staykov, Aleksandar (16053634300); Kubota, Masanobu (7401665066)","59986032500; 57192978784; 55791262500; 16053634300; 7401665066","Kinetic modeling of ammonia and hydrogen dissociative co-adsorption on iron surface and its effect on hydrogen embrittlement","2025","Physical Chemistry Chemical Physics","27","45","","24589","24600","11","3","10.1039/d5cp02423d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022235810&doi=10.1039%2fd5cp02423d&partnerID=40&md5=7cdc721102ce7176da60a26e246fa3c0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105022235810"
"Ueda Y.; Kubota M.; Kondo Y.","Ueda, Yuta (36351231800); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500)","36351231800; 7401665066; 35327168500","Effect of absorbed and environmental hydrogen on short fatigue crack propagation near threshold in low alloy steel","2010","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","76","765","","602","609","7","0","10.1299/kikaia.76.602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955188596&doi=10.1299%2fkikaia.76.602&partnerID=40&md5=4dae20b7d3309f1ee04551d1d251d538","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-77955188596"
"Nan Z.; Komoda R.; Yamada K.; Volkert C.A.; Tian L.; Kirchheim R.; Sofronis P.; Hosseinisarani Zahra S.; Dadfarnia M.; Kubota M.; Staykov A.","Nan, Zhang (57218950657); Komoda, Ryosuke (55791262500); Yamada, Kazuki (57211272646); Volkert, Cynthia A. (57189083389); Tian, Lin (55268316700); Kirchheim, Reiner (26643299600); Sofronis, Petros (7003666624); Hosseinisarani Zahra, S. (57218956968); Dadfarnia, Mohsen (6602919061); Kubota, Masanobu (7401665066); Staykov, Aleksandar (16053634300)","57218950657; 55791262500; 57211272646; 57189083389; 55268316700; 26643299600; 7003666624; 57218956968; 6602919061; 7401665066; 16053634300","Effect of ammonia impurity on hydrogen embrittlement of scm440 low-alloy steel in hydrogen gas","2020","Proceedings of the International Offshore and Polar Engineering Conference","2020-October","","","3030","3035","5","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090908849&partnerID=40&md5=4f4dc3ff50647e5f1b5889816252fb7a","Conference paper","Final","","Scopus","2-s2.0-85090908849"
"Kubota M.; Tanaka Y.; Kondo Y.","Kubota, Masanobu (7401665066); Tanaka, Yasuhiro (59828836100); Kondo, Yoshiyuki (35327168500)","7401665066; 59828836100; 35327168500","Fretting fatigue properties of SCM435H and SUH660 in hydrogen gas environment","2007","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","73","12","","1382","1387","5","2","10.1299/kikaia.73.1382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40349103502&doi=10.1299%2fkikaia.73.1382&partnerID=40&md5=3c8855cd68685147c757bc7593efb60f","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-40349103502"
"Kondo Y.; Kubota M.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066)","35327168500; 7401665066","Effect of heat treatment on the hydrogen enhanced fatigue crack propagation of low carbon steel S25C","2011","Zairyo/Journal of the Society of Materials Science, Japan","60","10","","898","904","6","5","10.2472/jsms.60.898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80155171510&doi=10.2472%2fjsms.60.898&partnerID=40&md5=fd17dc67db0a439a1362216f4f625db4","Article","Final","","Scopus","2-s2.0-80155171510"
"Zhang N.; Komoda R.; Yamada K.; Kubota M.; Staykov A.","Zhang, Nan (57218950657); Komoda, Ryosuke (55791262500); Yamada, Kazuki (57211272646); Kubota, Masanobu (7401665066); Staykov, Aleksandar (16053634300)","57218950657; 55791262500; 57211272646; 7401665066; 16053634300","Ammonia mitigation and induction effects on hydrogen environment embrittlement of SCM440 low-alloy steel","2022","International Journal of Hydrogen Energy","47","33","","15084","15093","9","19","10.1016/j.ijhydene.2022.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127334346&doi=10.1016%2fj.ijhydene.2022.03.006&partnerID=40&md5=bea635e99f65f6956647b42c1857f9f2","Article","Final","","Scopus","2-s2.0-85127334346"
"Kataoka S.; Sakae C.; Kubota M.; Kondo Y.","Kataoka, Shunsuke (22979937000); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500)","22979937000; 6602682165; 7401665066; 35327168500","Effect of stress relief groove shape on fretting fatigue strength","2007","Key Engineering Materials","353-358","PART 2","","856","859","3","5","10.4028/0-87849-456-1.856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048935110&doi=10.4028%2f0-87849-456-1.856&partnerID=40&md5=93b59359b51e789df692258b3344f290","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-36048935110"
"Kubota M.; Komoda R.; Cui X.; Wakabayashi H.; Tanaka Y.","Kubota, Masanobu (7401665066); Komoda, Ryosuke (55791262500); Cui, Xuesong (57210888359); Wakabayashi, Hiroshi (57210886079); Tanaka, Yasuhisa (57210889176)","7401665066; 55791262500; 57210888359; 57210886079; 57210889176","Effects of hydrogen and weld defect on tensile properties of SUH660 and SUS316L welded joints","2019","International Journal of Mechanical Engineering and Robotics Research","8","5","","713","718","5","2","10.18178/ijmerr.8.5.713-718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071753457&doi=10.18178%2fijmerr.8.5.713-718&partnerID=40&md5=a12911781014f644b3bcc82159fc2051","Article","Final","","Scopus","2-s2.0-85071753457"
"Vijayvargia K.; Dadfarnia M.; Sofronis P.; Kubota M.; Staykov A.; Wada K.; Pugh J.A.; Eason T.J.","Vijayvargia, K. (58538222600); Dadfarnia, M. (6602919061); Sofronis, P. (7003666624); Kubota, M. (7401665066); Staykov, A. (16053634300); Wada, K. (57467024400); Pugh, J.A. (57218867507); Eason, T.J. (36934097700)","58538222600; 6602919061; 7003666624; 7401665066; 16053634300; 57467024400; 57218867507; 36934097700","Three-dimensional constraint-based void-growth model for high temperature hydrogen attack","2023","International Journal of Fracture","243","2","","203","228","25","3","10.1007/s10704-023-00739-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168087502&doi=10.1007%2fs10704-023-00739-2&partnerID=40&md5=ff87bf32caf601bec81fbd203089634f","Article","Final","","Scopus","2-s2.0-85168087502"
"Kondo Y.; Sakae C.; Kubota M.; Kitahara H.; Yanagihara K.","Kondo, Y. (35327168500); Sakae, C. (6602682165); Kubota, M. (7401665066); Kitahara, H. (8550625400); Yanagihara, K. (8550625500)","35327168500; 6602682165; 7401665066; 8550625400; 8550625500","Fretting fatigue under variable loading below fretting fatigue limit","2006","Fatigue and Fracture of Engineering Materials and Structures","29","3","","191","199","8","9","10.1111/j.1460-2695.2006.00980.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644761932&doi=10.1111%2fj.1460-2695.2006.00980.x&partnerID=40&md5=d9bb760855c83414db076fdfb2e5e276","Article","Final","","Scopus","2-s2.0-33644761932"
"Kubota M.; MacAdre A.; Mori K.; Mori R.","Kubota, Masanobu (7401665066); MacAdre, Arnaud (36521319200); Mori, Koichi (57202380436); Mori, Ryo (57212729343)","7401665066; 36521319200; 57202380436; 57212729343","Fatigue Properties of Ultra-Fine Grain Austenitic Stainless Steel and the Effect of Hydrogen","2018","MATEC Web of Conferences","165","","03007","","","","2","10.1051/matecconf/201816503007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048085145&doi=10.1051%2fmatecconf%2f201816503007&partnerID=40&md5=22b021f2589113105dc5e2d60695c33f","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85048085145"
"Kondo Y.; Sakae C.; Kubota M.; Nagamatsu S.; Tominaga T.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Nagamatsu, Sayaka (15923767000); Tominaga, Toyokazu (15924474400)","35327168500; 6602682165; 7401665066; 15923767000; 15924474400","Small-notched fatigue under variable amplitude loading below fatigue limit diagram","2006","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","72","11","","1759","1765","6","1","10.1299/kikaia.72.1759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847136355&doi=10.1299%2fkikaia.72.1759&partnerID=40&md5=7c081a86ffc3cd8b35e42dad67fc1eb9","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-33847136355"
"Komoda R.; Kubota M.; Yoshida S.; Staykov A.; Ginet P.; Barbier F.; Furtado J.","Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Yoshida, Shuichi (57203903304); Staykov, Aleksandar (16053634300); Ginet, Patrick (8516228200); Barbier, Francoise (57197562839); Furtado, Jader (24467850700)","55791262500; 7401665066; 57203903304; 16053634300; 8516228200; 57197562839; 24467850700","Inhibition of hydrogen embrittlement of Cr-Mo steel by the addition of impurities to hydrogen environment and the effect of material strength","2018","Proceedings of the International Offshore and Polar Engineering Conference","2018-June","","","236","242","6","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053476456&partnerID=40&md5=1110dfedd7b2a254510b5e152304efa4","Conference paper","Final","","Scopus","2-s2.0-85053476456"
"Kondo Y.; Kubota M.; Mizobe K.","Kondo, Y. (35327168500); Kubota, M. (7401665066); Mizobe, K. (55649570543)","35327168500; 7401665066; 55649570543","Mechanistic role of hydrogen on the enhanced crack propagation of low alloy steel SCM440H","2010","18th European Conference on Fracture: Fracture of Materials and Structures from Micro to Macro Scale","","","","","","8","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870966302&partnerID=40&md5=3db185ab38bf06ddad04b77a24b0b846","Conference paper","Final","","Scopus","2-s2.0-84870966302"
"Kondo Y.; Kubota M.; Ohguma K.; Shimada K.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Ohguma, Katsunori (23969218600); Shimada, Katsuya (23969212200)","35327168500; 7401665066; 23969218600; 23969212200","Effect of absorbed hydrogen on torsional fatigue behavior of stainless steels (examination by continuous cathodic polarization)","2007","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","73","12","","1351","1357","6","2","10.1299/kikaia.73.1351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40349110954&doi=10.1299%2fkikaia.73.1351&partnerID=40&md5=c3dda884fd78ab8feb3b32f06bb50be2","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-40349110954"
"Takazaki D.; Tsuchiyama T.; Komoda R.; Dadfarnia M.; Somerday B.P.; Sofronis P.; Kubota M.","Takazaki, Daisuke (57192398616); Tsuchiyama, Toshihiro (7005302655); Komoda, Ryosuke (55791262500); Dadfarnia, Mohsen (6602919061); Somerday, Brian P. (6603379415); Sofronis, Petros (7003666624); Kubota, Masanobu (7401665066)","57192398616; 7005302655; 55791262500; 6602919061; 6603379415; 7003666624; 7401665066","Effect of Hydrogen on Creep Properties of SUS304 Austenitic Stainless Steel","2021","Corrosion","77","3","","256","265","9","18","10.5006/3678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138997242&doi=10.5006%2f3678&partnerID=40&md5=ed04777e1d8554fd390e11065c86a022","Article","Final","","Scopus","2-s2.0-85138997242"
"Kubota M.; Noyama N.; Sakae C.; Kondo Y.","Kubota, Masanobu (7401665066); Noyama, Naoki (12646573100); Sakae, Chu (6602682165); Kondo, Yoshiyuki (35327168500)","7401665066; 12646573100; 6602682165; 35327168500","Fretting fatigue in hydrogen gas","2006","Tribology International","39","10","","1241","1247","6","26","10.1016/j.triboint.2006.02.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746615181&doi=10.1016%2fj.triboint.2006.02.014&partnerID=40&md5=5e734249d6c54f859990cd82b061aceb","Article","Final","","Scopus","2-s2.0-33746615181"
"Kataoka S.; Ono H.; Kubota M.; Kondo Y.","Kataoka, Shunsuke (22979937000); Ono, Hiroaki (57203644924); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500)","22979937000; 57203644924; 7401665066; 35327168500","Effect of contact conditions on growth of small crack in fretting fatigue","2012","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","78","785","","1","13","12","1","10.1299/kikaia.78.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859566344&doi=10.1299%2fkikaia.78.1&partnerID=40&md5=83846d694612aac06e4b6e520f8ce84e","Article","Final","","Scopus","2-s2.0-84859566344"
"Murakami K.; Komazaki S.-I.; Kubota M.","Murakami, Kotaro (57225047302); Komazaki, Shin-Ichi (7006284503); Kubota, Masanobu (7401665066)","57225047302; 7006284503; 7401665066","Effect of High-Temperature Hydrogen Gas Atmosphere on Small Punch Test Properties of Type 304 Austenitic Stainless Steel; [オーステナイト系ステンレス鋼 SUS304 のスモールパンチ試験特性に及ぼす高温水素ガス雰囲気の影響]","2024","Zairyo/Journal of the Society of Materials Science, Japan","73","6","","512","519","7","0","10.2472/jsms.73.512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196406739&doi=10.2472%2fjsms.73.512&partnerID=40&md5=91387a7dad27c7d4f91ea92372dceed8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196406739"
"Komoda R.; Zhang N.; Kubota M.; Staykov A.; Ginet P.; Furtado J.; Prost L.; Nagao A.","Komoda, Ryosuke (55791262500); Zhang, Nan (57218950657); Kubota, Masanobu (7401665066); Staykov, Aleksander (16053634300); Ginet, Patrick (8516228200); Furtado, Jader (24467850700); Prost, Laurent (57095148000); Nagao, Akihide (7005739765)","55791262500; 57218950657; 7401665066; 16053634300; 8516228200; 24467850700; 57095148000; 7005739765","Mitigation of hydrogen embrittlement of iron and steels by carbon monoxide in gaseous H2","2025","International Journal of Hydrogen Energy","136","","","822","832","10","7","10.1016/j.ijhydene.2024.04.071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189896316&doi=10.1016%2fj.ijhydene.2024.04.071&partnerID=40&md5=07e811ab94c2365ac865efccba06dc0a","Article","Final","","Scopus","2-s2.0-85189896316"
"Komoda R.; Yoshigai N.; Kubota M.; Furtado J.","Komoda, Ryosuke (55791262500); Yoshigai, Naoto (56119544900); Kubota, Masanobu (7401665066); Furtado, Jader (24467850700)","55791262500; 56119544900; 7401665066; 24467850700","Reduction in fretting fatigue strength of austenitic stainless steels due to internal hydrogen","2014","Advanced Materials Research","891-892","","","891","896","5","2","10.4028/www.scientific.net/AMR.891-892.891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898861012&doi=10.4028%2fwww.scientific.net%2fAMR.891-892.891&partnerID=40&md5=9ee0125693fb40bfd523c27cced2523f","Conference paper","Final","","Scopus","2-s2.0-84898861012"
"Kubota M.; Tanaka Y.; Kondo Y.","Kubota, Masanobu (7401665066); Tanaka, Yasuhiro (59828836100); Kondo, Yoshiyuki (35327168500)","7401665066; 59828836100; 35327168500","The effect of hydrogen gas environment on fretting fatigue strength of materials used for hydrogen utilization machines","2009","Tribology International","42","9","","1352","1359","7","27","10.1016/j.triboint.2009.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649770268&doi=10.1016%2fj.triboint.2009.04.006&partnerID=40&md5=98016fab8ea3bf5387912619bf2054db","Article","Final","","Scopus","2-s2.0-67649770268"
"Kondo Y.; Eda H.; Kubota M.","Kondo, Y. (35327168500); Eda, H. (57202158826); Kubota, M. (7401665066)","35327168500; 57202158826; 7401665066","Effect of small notch and absorbed hydrogen on the fatigue fracture in two-step stress test within fatigue limit diagram","2009","Fatigue and Fracture of Engineering Materials and Structures","32","9","","736","743","7","1","10.1111/j.1460-2695.2009.01380.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69649098333&doi=10.1111%2fj.1460-2695.2009.01380.x&partnerID=40&md5=f751fc1e7712b08213697e8dbee92ff8","Article","Final","","Scopus","2-s2.0-69649098333"
"Chapman A.; Ertekin E.; Kubota M.; Nagao A.; Bertsch K.; Macadre A.; Tsuchiyama T.; Masamura T.; Takaki S.; Komoda R.; Dadfarnia M.; Somerday B.; Staykov A.T.; Sugimura J.; Sawae Y.; Morita T.; Tanaka H.; Yagi K.; Niste V.; Saravanan P.; Onitsuka S.; Yoon K.-S.; Ogo S.; Matsushima T.; Tumen-Ulzii G.; Klotz D.; Nguyen D.H.; Harrington G.; Adachi C.; Matsumoto H.; Kwati L.; Takahashi Y.; Kosem N.; Ishihara T.; Yamauchi M.; Saha B.B.; Islam M.A.; Miyawaki J.; Sivasankaran H.; Kohno M.; Fujikawa S.; Selyanchyn R.; Tsuji T.; Higashi Y.; Kirchheim R.; Sofronis P.","Chapman, Andrew (56896748300); Ertekin, Elif (6603364727); Kubota, Masanobu (7401665066); Nagao, Akihide (7005739765); Bertsch, Kaila (57197867523); Macadre, Arnaud (36521319200); Tsuchiyama, Toshihiro (7005302655); Masamura, Takuro (57436384700); Takaki, Setsuo (35510146900); Komoda, Ryosuke (55791262500); Dadfarnia, Mohsen (6602919061); Somerday, Brian (6603379415); Staykov, Alexander Tsekov (16053634300); Sugimura, Joichi (7005715413); Sawae, Yoshinori (7005063904); Morita, Takehiro (54885166700); Tanaka, Hiroyoshi (55255946200); Yagi, Kazuyuki (57218537206); Niste, Vlad (55867197200); Saravanan, Prabakaran (59430303500); Onitsuka, Shugo (57219601081); Yoon, Ki-Seok (7401607360); Ogo, Seiji (35478188200); Matsushima, Toshinori (11840337600); Tumen-Ulzii, Ganbaatar (57192669362); Klotz, Dino (35621799400); Nguyen, Dinh Hoa (26024240100); Harrington, George (56050651000); Adachi, Chihaya (7005476451); Matsumoto, Hiroshige (7404313914); Kwati, Leonard (25937315700); Takahashi, Yukina (10739907900); Kosem, Nuttavut (6506830400); Ishihara, Tatsumi (7402144741); Yamauchi, Miho (7201591670); Saha, Bidyut Baran (7202946309); Islam, Md. Amirul (57209188198); Miyawaki, Jin (8396487400); Sivasankaran, Harish (57220398041); Kohno, Masamichi (7202499809); Fujikawa, Shigenori (7102087210); Selyanchyn, Roman (35799025600); Tsuji, Takeshi (56430371700); Higashi, Yukihiro (7202858938); Kirchheim, Reiner (26643299600); Sofronis, Petros (7003666624)","56896748300; 6603364727; 7401665066; 7005739765; 57197867523; 36521319200; 7005302655; 57436384700; 35510146900; 55791262500; 6602919061; 6603379415; 16053634300; 7005715413; 7005063904; 54885166700; 55255946200; 57218537206; 55867197200; 59430303500; 57219601081; 7401607360; 35478188200; 11840337600; 57192669362; 35621799400; 26024240100; 56050651000; 7005476451; 7404313914; 25937315700; 10739907900; 6506830400; 7402144741; 7201591670; 7202946309; 57209188198; 8396487400; 57220398041; 7202499809; 7102087210; 35799025600; 56430371700; 7202858938; 26643299600; 7003666624","Achieving a Carbon Neutral Future through Advanced Functional Materials and Technologies","2022","Bulletin of the Chemical Society of Japan","95","1","","73","103","30","74","10.1246/bcsj.20210323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123887927&doi=10.1246%2fbcsj.20210323&partnerID=40&md5=a533cea73ebbb6c021dc9a2ebb11ae80","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85123887927"
"Ishiduka H.; Kubota M.; Sakae C.; Kondo Y.; Sato Y.; Makino K.","Ishiduka, Hiromichi (6505974015); Kubota, Masanobu (7401665066); Sakae, Chu (6602682165); Kondo, Yoshiyuki (35327168500); Sato, Yasuo (55728723000); Makino, Kazunari (8973251600)","6505974015; 7401665066; 6602682165; 35327168500; 55728723000; 8973251600","Evaluation of fatigue crack propagation property on the wheelseat of normalized axles for narrow gauge line vehicles","2006","Zairyo/Journal of the Society of Materials Science, Japan","55","6","","550","557","7","4","10.2472/jsms.55.550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748303088&doi=10.2472%2fjsms.55.550&partnerID=40&md5=c9def89f9f482271fdf2dadca929cb4d","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-33748303088"
"Kondo Y.; Sakae C.; Kubota M.; Yanagihara K.","Kondo, Y. (35327168500); Sakae, C. (6602682165); Kubota, M. (7401665066); Yanagihara, K. (8550625500)","35327168500; 6602682165; 7401665066; 8550625500","Non-propagating crack behaviour at giga-cycle fretting fatigue limit","2005","Fatigue and Fracture of Engineering Materials and Structures","28","6","","501","506","5","15","10.1111/j.1460-2695.2005.00896.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-19044400923&doi=10.1111%2fj.1460-2695.2005.00896.x&partnerID=40&md5=4e02bea20f455c390cb9db330959e72f","Article","Final","","Scopus","2-s2.0-19044400923"
"Shang J.; Kubota M.; Staykov A.; Yussalla V.I.; Okano H.; Naho I.","Shang, Juan (57206935039); Kubota, Masanobu (7401665066); Staykov, Aleksandar (16053634300); Yussalla, Vanadia Irisca (57215608268); Okano, Hiroshi (57192432605); Naho, Inoue (60029946400)","57206935039; 7401665066; 16053634300; 57215608268; 57192432605; 60029946400","CO + O2 atmosphere as a superior inhibitor of gaseous hydrogen embrittlement in a martensitic steel: Fatigue crack growth and atomistic insights","2026","Scripta Materialia","280","","117349","","","","0","10.1016/j.scriptamat.2026.117349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105036487941&doi=10.1016%2fj.scriptamat.2026.117349&partnerID=40&md5=43516888c79beadce355ed1530e2d24a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105036487941"
"Morita N.; Komoda R.; Nakashima F.; Kubota M.; Higurashi E.; Sawada R.","Morita, Nobutomo (55560661600); Komoda, Ryosuke (55791262500); Nakashima, Fumiya (57213238520); Kubota, Masanobu (7401665066); Higurashi, Eiji (6701470750); Sawada, Renshi (7005726766)","55560661600; 55791262500; 57213238520; 7401665066; 6701470750; 7005726766","Evaluation of local relative slip in a narrow space in hydrogen gas using MEMS optical encoder","2016","International Conference on Optical MEMS and Nanophotonics","2016-September","","7565861","","","","1","10.1109/OMN.2016.7565861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990230591&doi=10.1109%2fOMN.2016.7565861&partnerID=40&md5=f1c01bc1f74c484395dca37874811650","Conference paper","Final","","Scopus","2-s2.0-84990230591"
"Staykov A.; Komoda R.; Kubota M.; Ginet P.; Barbier F.; Furtado J.","Staykov, Aleksandar (16053634300); Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Ginet, Patrick (8516228200); Barbier, Françoise (57197562839); Furtado, Jader (24467850700)","16053634300; 55791262500; 7401665066; 8516228200; 57197562839; 24467850700","Coadsorption of CO and H2 on an Iron Surface and Its Implication on the Hydrogen Embrittlement of Iron","2019","Journal of Physical Chemistry C","123","50","","30265","30273","8","64","10.1021/acs.jpcc.9b06927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076254495&doi=10.1021%2facs.jpcc.9b06927&partnerID=40&md5=151163230dc20310c5d4ffa67cf75d05","Article","Final","","Scopus","2-s2.0-85076254495"
"Sudo T.; Kubota M.; Kondo Y.","Sudo, Tomoe (35079553500); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500)","35079553500; 7401665066; 35327168500","Single overload effect in short crack","2008","17th European Conference on Fracture 2008: Multilevel Approach to Fracture of Materials, Components and Structures","2","","","1024","1031","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866128313&partnerID=40&md5=224ab59df394b880a2645389bc46325e","Conference paper","Final","","Scopus","2-s2.0-84866128313"
"Komoda R.; Kubota M.; Staykov A.; Ginet P.; Barbier F.; Furtado J.","Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Staykov, Aleksandar (16053634300); Ginet, Patrick (8516228200); Barbier, Francoise (57197562839); Furtado, Jader (24467850700)","55791262500; 7401665066; 16053634300; 8516228200; 57197562839; 24467850700","Inhibitory effect of oxygen on hydrogen-induced fracture of A333 pipe steel","2019","Fatigue and Fracture of Engineering Materials and Structures","42","6","","1387","1401","14","75","10.1111/ffe.12994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063376938&doi=10.1111%2fffe.12994&partnerID=40&md5=1dfc0205efc7959ec0fbef8433d82ab1","Article","Final","","Scopus","2-s2.0-85063376938"
