"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tomaru T.; Shimanoe H.; Hong S.; Ha S.-J.; Jeon Y.-P.; Nakabayashi K.; Miyawaki J.; Yoon S.-H.","Tomaru, Taisei (58055972100); Shimanoe, Hiroki (57132921700); Hong, Seonghwa (7405766481); Ha, Seung-Jae (57201131363); Jeon, Young-Pyo (56323798300); Nakabayashi, Koji (55650538600); Miyawaki, Jin (8396487400); Yoon, Seong-Ho (13310265100)","58055972100; 57132921700; 7405766481; 57201131363; 56323798300; 55650538600; 8396487400; 13310265100","Corrigendum to “Preparation of spinnable mesophase pitch from pyrolyzed fuel oil by pressurized heat treatment and its application of carbon fiber” [Carbon 226 (2024) 119160] (Carbon (2024) 226, (S0008622324003798), (10.1016/j.carbon.2024.119160))","2025","Carbon","234","","119996","","","","0","10.1016/j.carbon.2025.119996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216320902&doi=10.1016%2fj.carbon.2025.119996&partnerID=40&md5=8ae914e861bcb6b6accaaa537fec2163","Erratum","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85216320902"
"Tomaru T.; Shimanoe H.; Hong S.; Ha S.-J.; Jeon Y.-P.; Nakabayashi K.; Miyawaki J.; Yoon S.-H.","Tomaru, Taisei (58055972100); Shimanoe, Hiroki (57132921700); Hong, Seonghwa (7405766481); Ha, Seung-Jae (57201131363); Jeon, Young-Pyo (56323798300); Nakabayashi, Koji (55650538600); Miyawaki, Jin (8396487400); Yoon, Seong-Ho (13310265100)","58055972100; 57132921700; 7405766481; 57201131363; 56323798300; 55650538600; 8396487400; 13310265100","Preparation of spinnable mesophase pitch from pyrolyzed fuel oil by pressurized heat treatment and its application of carbon fiber","2024","Carbon","226","","119160","","","","20","10.1016/j.carbon.2024.119160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192140575&doi=10.1016%2fj.carbon.2024.119160&partnerID=40&md5=2683d5636e20d40af62d305de9fb2f26","Article","Final","","Scopus","2-s2.0-85192140575"
"Mashio T.; Tomaru T.; Shimanoe H.; Ha S.-J.; Jeon Y.-P.; Nakabayashi K.; Miyawaki J.; Yoon S.-H.","Mashio, Takashi (57212107358); Tomaru, Taisei (58055972100); Shimanoe, Hiroki (57132921700); Ha, Seung-Jae (57201131363); Jeon, Young-Pyo (56323798300); Nakabayashi, Koji (55650538600); Miyawaki, Jin (8396487400); Yoon, Seong-Ho (13310265100)","57212107358; 58055972100; 57132921700; 57201131363; 56323798300; 55650538600; 8396487400; 13310265100","Analysis of spinnable mesophase pitch in terms of lyotropic liquid crystalline solution","2023","Carbon Letters","33","3","","713","726","13","10","10.1007/s42823-022-00453-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146016399&doi=10.1007%2fs42823-022-00453-4&partnerID=40&md5=358eb53ce689e9856412bd0325ebce08","Article","Final","","Scopus","2-s2.0-85146016399"
"Teshima K.; Tomaru T.; Choi J.; Shimanoe H.; Ayukawa T.; Miyawaki J.; Yoon S.-H.; Nakabayashi K.","Teshima, Kazunari (57215831971); Tomaru, Taisei (58055972100); Choi, Jueun (57218548028); Shimanoe, Hiroki (57132921700); Ayukawa, Tsubasa (57215829659); Miyawaki, Jin (8396487400); Yoon, Seong-Ho (13310265100); Nakabayashi, Koji (55650538600)","57215831971; 58055972100; 57218548028; 57132921700; 57215829659; 8396487400; 13310265100; 55650538600","Structure-Selective Preparation of Carbon Nanofibers under Gaseous CO2Mixed with Other Carbon Sources","2026","Energy and Fuels","40","2","","1267","1275","8","0","10.1021/acs.energyfuels.5c04516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027522332&doi=10.1021%2facs.energyfuels.5c04516&partnerID=40&md5=90d69c55ae776d04057926209b731b83","Article","Final","","Scopus","2-s2.0-105027522332"
"Tomaru T.; Awakura Y.; Kotajima M.; Irisawa T.; Ha S.-J.; Jeon Y.-P.; Nakabayashi K.; Miyawaki J.; Yoon S.-H.","Tomaru, Taisei (58055972100); Awakura, Yasufumi (59713514300); Kotajima, Masaru (59713716000); Irisawa, Toshihira (12784272400); Ha, Seung-Jae (57201131363); Jeon, Young-Pyo (56323798300); Nakabayashi, Koji (55650538600); Miyawaki, Jin (8396487400); Yoon, Seong-Ho (13310265100)","58055972100; 59713514300; 59713716000; 12784272400; 57201131363; 56323798300; 55650538600; 8396487400; 13310265100","Effects of chemical structure of mesogenic components on the mechanical properties of mesophase pitch-based carbon fiber","2025","Carbon","242","","120428","","","","4","10.1016/j.carbon.2025.120428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005095191&doi=10.1016%2fj.carbon.2025.120428&partnerID=40&md5=b8390d871c44f5e51914ab95c34b3e4d","Article","Final","","Scopus","2-s2.0-105005095191"
"Shimanoe H.; Mashio T.; Tomaru T.; Ha S.-J.; Jeon Y.-P.; Nakabayashi K.; Miyawaki J.; Yoon S.-H.","Shimanoe, Hiroki (57132921700); Mashio, Takashi (57212107358); Tomaru, Taisei (58055972100); Ha, Seung-Jae (57201131363); Jeon, Young-Pyo (56323798300); Nakabayashi, Koji (55650538600); Miyawaki, Jin (8396487400); Yoon, Seong-Ho (13310265100)","57132921700; 57212107358; 58055972100; 57201131363; 56323798300; 55650538600; 8396487400; 13310265100","Evaluation of the utility of isotropic pitches as solvent components of spinnable mesophase pitch precursors for highly graphitizable functional carbon materials","2023","Journal of Industrial and Engineering Chemistry","120","","","325","331","6","17","10.1016/j.jiec.2022.12.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147594421&doi=10.1016%2fj.jiec.2022.12.039&partnerID=40&md5=68d19a82860a67e72d093d8dd4ea6ce8","Article","Final","","Scopus","2-s2.0-85147594421"
