"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kusdhany M.I.M.; Vorokhta M.; Sasaki K.; Nishihara M.; Lyth S.M.","Kusdhany, Muhammad Irfan Maulana (57837246300); Vorokhta, Maryna (57211720960); Sasaki, Kazunari (24315284300); Nishihara, Masamichi (55817791600); Lyth, Stephen Matthew (13908003200)","57837246300; 57211720960; 24315284300; 55817791600; 13908003200","Solvent-Driven Pore Engineering in Coffee-Derived Activated Hydrochar: Implications for Post-Combustion CO2 Capture","2026","Carbon Energy","8","2","e70141","","","","0","10.1002/cey2.70141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024189154&doi=10.1002%2fcey2.70141&partnerID=40&md5=f527975e78a784a75dc9b6e6224a5543","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024189154"
"Kusdhany M.I.M.; Lyth S.M.","Kusdhany, Muhammad Irfan Maulana (57837246300); Lyth, Stephen Matthew (13908003200)","57837246300; 13908003200","MACHINE LEARNING AS A TOOL FOR INTERPRETING VARIABLES IN HYDROGEN SORPTION DATA","2022","Proceedings of WHEC 2022 - 23rd World Hydrogen Energy Conference: Bridging Continents by H2","","","","590","592","2","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147191575&partnerID=40&md5=58cecf76a223efc34fc16754107ab555","Conference paper","Final","","Scopus","2-s2.0-85147191575"
"Kusdhany M.I.M.; Amarasinghe S.I.; Maus S.; Sasaki K.; Nishihara M.; Lyth S.M.","Kusdhany, Muhammad Irfan Maulana (57837246300); Amarasinghe, Suwin Indula (59965944800); Maus, Steffen (24537370500); Sasaki, Kazunari (24315284300); Nishihara, Masamichi (55817791600); Lyth, Stephen Matthew (13908003200)","57837246300; 59965944800; 24537370500; 24315284300; 55817791600; 13908003200","An open-source Python package for lumped parameter modeling of sorbent-filled storage tanks for Hydrogen, CO2, Methane, and other fluids","2025","International Journal of Hydrogen Energy","150","","149793","","","","0","10.1016/j.ijhydene.2025.05.423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009217552&doi=10.1016%2fj.ijhydene.2025.05.423&partnerID=40&md5=4357eab2175531b1ed712758eea21801","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009217552"
"Vorokhta M.; Kusdhany M.I.M.; Švábová M.; Nishihara M.; Sasaki K.; Lyth S.M.","Vorokhta, Maryna (57211720960); Kusdhany, Muhammad Irfan Maulana (57837246300); Švábová, Martina (35559928600); Nishihara, Masamichi (55817791600); Sasaki, Kazunari (24315284300); Lyth, Stephen Matthew (13908003200)","57211720960; 57837246300; 35559928600; 55817791600; 24315284300; 13908003200","Hierarchically porous carbon foams coated with carbon nitride: Insights into adsorbents for pre-combustion and post-combustion CO2 separation","2025","Separation and Purification Technology","354","","129054","","","","16","10.1016/j.seppur.2024.129054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200555786&doi=10.1016%2fj.seppur.2024.129054&partnerID=40&md5=50759fefd901c77fd3b643ae9863bf70","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85200555786"
"Vorokhta M.; Kusdhany M.I.M.; Vorochta M.; Švábová M.; Nishihara M.; Sasaki K.; Lyth S.M.","Vorokhta, Maryna (57211720960); Kusdhany, Muhammad Irfan Maulana (57837246300); Vorochta, Michael (59659592800); Švábová, Martina (35559928600); Nishihara, Masamichi (55817791600); Sasaki, Kazunari (24315284300); Lyth, Stephen Matthew (13908003200)","57211720960; 57837246300; 59659592800; 35559928600; 55817791600; 24315284300; 13908003200","Acetone adsorption on hierarchically porous carbon foams: Effect of nitrogen doping and oxygen functional groups","2025","Chemical Engineering Journal","521","","166784","","","","3","10.1016/j.cej.2025.166784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013482993&doi=10.1016%2fj.cej.2025.166784&partnerID=40&md5=516a0c35095e40aa196732fc512a8c01","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013482993"
"Vorokhta M.; Kusdhany M.I.M.; Vöröš D.; Nishihara M.; Sasaki K.; Lyth S.M.","Vorokhta, Maryna (57211720960); Kusdhany, Muhammad Irfan Maulana (57837246300); Vöröš, Dominik (57193737130); Nishihara, Masamichi (55817791600); Sasaki, Kazunari (24315284300); Lyth, Stephen Matthew (13908003200)","57211720960; 57837246300; 57193737130; 55817791600; 24315284300; 13908003200","Microporous carbon foams: The effect of nitrogen-doping on CO2 capture and separation via pressure swing adsorption","2023","Chemical Engineering Journal","471","","144524","","","","48","10.1016/j.cej.2023.144524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164258245&doi=10.1016%2fj.cej.2023.144524&partnerID=40&md5=51b0a0968bb623b3c9f2718a8c9c106b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85164258245"
"Kusdhany M.I.M.; Ma Z.; Mufundirwa A.; Li H.-W.; Sasaki K.; Hayashi A.; Lyth S.M.","Kusdhany, Muhammad Irfan Maulana (57837246300); Ma, Zhongliang (57194113623); Mufundirwa, Albert (57191827413); Li, Hai-Wen (16069093000); Sasaki, Kazunari (24315284300); Hayashi, Akari (12801394600); Lyth, Stephen Matthew (13908003200)","57837246300; 57194113623; 57191827413; 16069093000; 24315284300; 12801394600; 13908003200","Hydrogen and carbon dioxide uptake on scalable and inexpensive microporous carbon foams","2022","Microporous and Mesoporous Materials","343","","112141","","","","15","10.1016/j.micromeso.2022.112141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135721431&doi=10.1016%2fj.micromeso.2022.112141&partnerID=40&md5=f4a5be92727cd26eeadf9e5429ceb387","Article","Final","","Scopus","2-s2.0-85135721431"
