"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Park H.; Park S.; Seo J.","Park, Hyungyu (58615897500); Park, Seonghyun (55775284700); Seo, Janghoo (16234502100)","58615897500; 55775284700; 16234502100","Evaluation on air purifier’s performance in reducing the concentration of fine particulate matter for occupants according to its operation methods","2020","International Journal of Environmental Research and Public Health","17","15","5561","1","14","13","18","10.3390/ijerph17155561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088934672&doi=10.3390%2fijerph17155561&partnerID=40&md5=733877a88093c39707d9f04908cd98a5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85088934672"
"Park H.; Yoo S.-J.; Kuga K.; Sumiyoshi E.; Harashima H.; Ito K.","Park, Hyungyu (58615897500); Yoo, Sung-Jun (56547915200); Kuga, Kazuki (57194900762); Sumiyoshi, Eisaku (57203585682); Harashima, Hiroshi (36246075400); Ito, Kazuhide (7410403897)","58615897500; 56547915200; 57194900762; 57203585682; 36246075400; 7410403897","Impact of human micro-movements on breathing zone and thermal plume formation","2024","Building and Environment","264","","111916","","","","10","10.1016/j.buildenv.2024.111916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200599000&doi=10.1016%2fj.buildenv.2024.111916&partnerID=40&md5=0f501604560fb028d5fc480700a5734b","Article","Final","","Scopus","2-s2.0-85200599000"
"Yoo S.-J.; Yamauchi S.; Park H.; Ito K.","Yoo, Sung-Jun (56547915200); Yamauchi, Shori (58614994600); Park, Hyungyu (58615897500); Ito, Kazuhide (7410403897)","56547915200; 58614994600; 58615897500; 7410403897","Computational Fluid and Particle Dynamics Analyses for Prediction of Airborne Infection/Spread Risks in Highway Buses: A Parametric Study","2023","Fluids","8","9","253","","","","7","10.3390/fluids8090253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172083543&doi=10.3390%2ffluids8090253&partnerID=40&md5=849fae678888a6974cd7c74f91aedf78","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85172083543"
"Park H.; Yoo S.-J.; Eisaku S.; Hiroshi H.; Kuga K.; Ito K.","Park, Hyungyu (58615897500); Yoo, Sung-Jun (56547915200); Eisaku, Sumiyoshi (58482622800); Hiroshi, Harashima (58483315500); Kuga, Kazuki (57194900762); Ito, Kazuhide (7410403897)","58615897500; 56547915200; 58482622800; 58483315500; 57194900762; 7410403897","Skin surface boundary conditions for dermal exposure assessment using computer-simulated person","2025","Building and Environment","281","","113188","","","","2","10.1016/j.buildenv.2025.113188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005512685&doi=10.1016%2fj.buildenv.2025.113188&partnerID=40&md5=6a6512e15e60c32b462ff2b57fd0006e","Article","Final","","Scopus","2-s2.0-105005512685"
"Park H.; Park S.; Seo J.","Park, Hyungyu (58615897500); Park, Seonghyun (55775284700); Seo, Janghoo (16234502100)","58615897500; 55775284700; 16234502100","Evaluation of the PM2.5 reduction performance of air purifier considering human breathing","2020","16th Conference of the International Society of Indoor Air Quality and Climate: Creative and Smart Solutions for Better Built Environments, Indoor Air 2020","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101628141&partnerID=40&md5=0e8b92713c23fd3a4f398377b08e7f3b","Conference paper","Final","","Scopus","2-s2.0-85101628141"
"Park H.; Yoo S.-J.; Seo J.; Eisaku S.; Hiroshi H.; Kuga K.; Ito K.","Park, Hyungyu (58615897500); Yoo, Sung-Jun (56547915200); Seo, Janghoo (16234502100); Eisaku, Sumiyoshi (58482622800); Hiroshi, Harashima (58483315500); Kuga, Kazuki (57194900762); Ito, Kazuhide (7410403897)","58615897500; 56547915200; 16234502100; 58482622800; 58483315500; 57194900762; 7410403897","Integration of computer-simulated persons with multi-node thermoregulation model that considers the effect of clothing for skin surface temperature distribution analysis","2024","Building and Environment","248","","111105","","","","14","10.1016/j.buildenv.2023.111105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179624013&doi=10.1016%2fj.buildenv.2023.111105&partnerID=40&md5=111b4fa8e275237df01470bdea5013ad","Article","Final","","Scopus","2-s2.0-85179624013"
"Park S.; Park H.; Seo J.","Park, Seonghyun (55775284700); Park, Hyungyu (58615897500); Seo, Janghoo (16234502100)","55775284700; 58615897500; 16234502100","Analysis on the exhaust air recirculation of the ventilation system in multi-story building","2021","Applied Sciences (Switzerland)","11","10","4441","","","","2","10.3390/app11104441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106592530&doi=10.3390%2fapp11104441&partnerID=40&md5=1031e4a877b1a307718156552ccfd4df","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106592530"
"Hyun-Gyu P.; Sung-Jun Y.; Eisaku S.; Hiroshi H.; Ito K.","Hyun-Gyu, Park (58615897500); Sung-Jun, Yoo (56547915200); Eisaku, Sumiyoshi (58482622800); Hiroshi, Harashima (58483315500); Ito, Kazuhide (7410403897)","58615897500; 56547915200; 58482622800; 58483315500; 7410403897","Numerical Thermal Comfort Analysis Using Combined Computer-Simulated Person with Clothing and Multi-Node Thermoregulation Model","2023","E3S Web of Conferences","396","","01019","","","","0","10.1051/e3sconf/202339601019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164465153&doi=10.1051%2fe3sconf%2f202339601019&partnerID=40&md5=bf2314bb9228bfe80f2c766a78efbb0e","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164465153"
"Park H.; Yoo S.-J.; Kuga K.; Ito K.","Park, Hyungyu (58615897500); Yoo, Sung-Jun (56547915200); Kuga, Kazuki (57194900762); Ito, Kazuhide (7410403897)","58615897500; 56547915200; 57194900762; 7410403897","The effect of micro-movement of a computer-simulated person on the formation of breathing zones","2024","18th Conference of the International Society of Indoor Air Quality and Climate, INDOOR AIR 2024 - Conference Program and Proceedings","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210887488&partnerID=40&md5=f2e8dd59febd876eda71b30d2e36ae53","Conference paper","Final","","Scopus","2-s2.0-85210887488"
