"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"He Q.; Sumiyoshi D.","He, Qingyi (59505776800); Sumiyoshi, Daisuke (37114704400)","59505776800; 37114704400","Simulating air-conditioning use in Office Buildings by Modeling the Relationship between Psychological Factors and Occupants- Behavior in Japan","2025","E3S Web of Conferences","672","","02023","","","","0","10.1051/e3sconf/202567202023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031157756&doi=10.1051%2fe3sconf%2f202567202023&partnerID=40&md5=fb54ae8c3b2247b416f79464af4821d6","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031157756"
"He Q.; Sumiyoshi D.","He, Qingyi (59505776800); Sumiyoshi, Daisuke (37114704400)","59505776800; 37114704400","INVESTIGATING THE RELATIONSHIP BETWEEN ENVIRONMENTAL AWARENESS AND ENERGY-SAVING BEHAVIOR IN OFFICE BUILDINGS USING THE THEORY OF PLANNED BEHAVIOR; [計画行動理論を用いたオフィスにおける環境意識と省エネ行動の関係分析]","2025","Journal of Environmental Engineering (Japan)","90","827","","1","12","11","3","10.3130/aije.90.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214504110&doi=10.3130%2faije.90.1&partnerID=40&md5=70734abb7f8112f01eee2bb71bf07108","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85214504110"
